Lon,Lat,Cicyano,,Lon,Lat,CI,,LonTF,LatTF,ValueTF,Cicyano > Ci,Cicyano > 0,CI > 0,Cicyano > Ci
-122.8892196,39.09672411,0,,-122.8892196,39.09672411,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8857687,39.09689898,0,,-122.8857687,39.09689898,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8823177,39.09707376,0,,-122.8823177,39.09707376,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8788667,39.09724843,0,,-122.8788667,39.09724843,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8754157,39.097423,0,,-122.8754157,39.097423,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8719647,39.09759747,0,,-122.8719647,39.09759747,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8685136,39.09777184,0,,-122.8685136,39.09777184,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8650625,39.09794611,0,,-122.8650625,39.09794611,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8478065,39.09881592,0,,-122.8478065,39.09881592,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8443553,39.09898958,0,,-122.8443553,39.09898958,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8201955,39.10020234,0,,-122.8201955,39.10020234,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8993473,39.09350986,0,,-122.8993473,39.09350986,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8958966,39.09368502,0,,-122.8958966,39.09368502,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8924459,39.09386009,0,,-122.8924459,39.09386009,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8889951,39.09403505,0,,-122.8889951,39.09403505,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8855443,39.09420991,0,,-122.8855443,39.09420991,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8820935,39.09438466,0,,-122.8820935,39.09438466,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8786426,39.09455932,0,,-122.8786426,39.09455932,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8751918,39.09473387,0,,-122.8751918,39.09473387,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8717409,39.09490833,0,,-122.8717409,39.09490833,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8682899,39.09508268,0,,-122.8682899,39.09508268,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8544858,39.09577907,0,,-122.8544858,39.09577907,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8510348,39.09595292,0,,-122.8510348,39.09595292,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8475836,39.09612666,0,,-122.8475836,39.09612666,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8441325,39.0963003,0,,-122.8441325,39.0963003,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8406813,39.09647384,0,,-122.8406813,39.09647384,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8372301,39.09664728,0,,-122.8372301,39.09664728,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8337789,39.09682061,0,,-122.8337789,39.09682061,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8303276,39.09699385,0,,-122.8303276,39.09699385,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8268763,39.09716698,0,,-122.8268763,39.09716698,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8165222,39.09768577,0,,-122.8165222,39.09768577,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8991225,39.09082085,0,,-122.8991225,39.09082085,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8956719,39.090996,0,,-122.8956719,39.090996,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8922213,39.09117104,0,,-122.8922213,39.09117104,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8887707,39.09134598,0,,-122.8887707,39.09134598,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.88532,39.09152083,0,,-122.88532,39.09152083,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8818693,39.09169557,0,,-122.8818693,39.09169557,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8784186,39.09187021,0,,-122.8784186,39.09187021,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8749678,39.09204475,0,,-122.8749678,39.09204475,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8715171,39.09221918,0,,-122.8715171,39.09221918,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8680662,39.09239352,0,,-122.8680662,39.09239352,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8611645,39.09274188,0,,-122.8611645,39.09274188,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8577136,39.09291591,0,,-122.8577136,39.09291591,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8542627,39.09308984,0,,-122.8542627,39.09308984,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8508117,39.09326367,0,,-122.8508117,39.09326367,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8473607,39.0934374,0,,-122.8473607,39.0934374,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8439097,39.09361102,0,,-122.8439097,39.09361102,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8404587,39.09378454,0,,-122.8404587,39.09378454,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8370076,39.09395797,0,,-122.8370076,39.09395797,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8335565,39.09413129,0,,-122.8335565,39.09413129,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8301053,39.0943045,0,,-122.8301053,39.0943045,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8266542,39.09447762,0,,-122.8266542,39.09447762,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.823203,39.09465064,0,,-122.823203,39.09465064,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8197517,39.09482355,0,,-122.8197517,39.09482355,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8988977,39.08813183,0,,-122.8988977,39.08813183,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8954472,39.08830696,0,,-122.8954472,39.08830696,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8919968,39.08848199,0,,-122.8919968,39.08848199,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8885463,39.08865692,0,,-122.8885463,39.08865692,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8850957,39.08883175,0,,-122.8850957,39.08883175,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8816452,39.08900647,0,,-122.8816452,39.08900647,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8781946,39.08918109,0,,-122.8781946,39.08918109,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8747439,39.08935561,0,,-122.8747439,39.08935561,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8712933,39.08953003,0,,-122.8712933,39.08953003,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8678426,39.08970435,0,,-122.8678426,39.08970435,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8643919,39.08987857,0,,-122.8643919,39.08987857,0,,TRUE,TRUE,TRUE,FALSE,,,
-122.8609412,39.09005268,0,,-122.8609412,39.09005268,0,,TRUE,TRUE,TRUE,FALSE,,,
