Lon,Lat,Pixel Value
-122.879405299,39.062115356,109
-122.875956002,39.0622898126,115
-122.872506676,39.0624641677,125
-122.869057319,39.0626384215,114
-122.865607932,39.0628125739,125
-122.862158516,39.0629866249,127
-122.858709069,39.0631605745,124
-122.855259593,39.0633344227,128
-122.851810087,39.0635081696,125
-122.848360551,39.063681815,121
-122.844910986,39.0638553591,122
-122.841461391,39.0640288018,111
-122.838011766,39.064202143,113
-122.834562111,39.0643753829,119
-122.831112426,39.0645485213,113
-122.827662712,39.0647215584,109
-122.824212969,39.064894494,123
-122.820763195,39.0650673282,104
-122.817313392,39.065240061,120
-122.813863559,39.0654126924,121
-122.810413697,39.0655852223,130
-122.806963805,39.0657576509,133
-122.803513884,39.065929978,122
-122.800063932,39.0661022037,125
-122.796613952,39.0662743279,117
-122.793163942,39.0664463507,116
-122.789713902,39.0666182721,108
-122.786263833,39.066790092,113
-122.782813735,39.0669618105,146
-122.910222636,39.0578517118,129
-122.906773739,39.0580270639,108
-122.903324811,39.0582023146,106
-122.899875853,39.058377464,99
-122.896426866,39.058552512,99
-122.892977848,39.0587274587,108
-122.8895288,39.0589023041,83
-122.886079723,39.059077048,79
-122.882630615,39.0592516907,122
-122.879181478,39.0594262319,108
-122.87573231,39.0596006718,113
-122.872283113,39.0597750104,100
-122.868833885,39.0599492475,124
-122.865384628,39.0601233833,111
-122.861935341,39.0602974177,113
-122.858486024,39.0604713508,125
-122.855036678,39.0606451825,123
-122.851587301,39.0608189127,116
-122.848137895,39.0609925416,114
-122.844688459,39.0611660692,121
-122.841238993,39.0613394953,107
-122.837789498,39.06151282,116
-122.834339972,39.0616860434,105
-122.830890418,39.0618591653,112
-122.827440833,39.0620321859,114
-122.823991219,39.062205105,117
-122.820541575,39.0623779228,109
-122.817091901,39.0625506391,112
-122.813642198,39.062723254,116
-122.810192465,39.0628957675,133
-122.806742703,39.0630681796,118
-122.803292911,39.0632404903,119
-122.799843089,39.0634126996,120
-122.796393238,39.0635848074,122
-122.792943358,39.0637568138,121
-122.789493448,39.0639287188,125
-122.786043508,39.0641005224,116
-122.782593539,39.0642722245,133
-122.913446418,39.0549872988,145
-122.90999768,39.0551627355,116
-122.906548911,39.0553380708,97
-122.903100113,39.0555133048,110
-122.899651285,39.0556884375,106
-122.896202427,39.0558634689,108
-122.892753538,39.0560383989,105
-122.88930462,39.0562132276,105
-122.885855672,39.0563879549,122
-122.882406694,39.0565625809,119
-122.878957686,39.0567371055,104
-122.875508648,39.0569115288,97
-122.87205958,39.0570858507,105
-122.868610482,39.0572600712,118
-122.865161354,39.0574341904,120
-122.861712197,39.0576082083,119
-122.858263009,39.0577821248,110
-122.854813792,39.0579559399,105
-122.851364545,39.0581296536,113
-122.847915268,39.0583032659,123
-122.844465962,39.0584767769,114
-122.841016625,39.0586501865,111
-122.837567259,39.0588234947,118
-122.834117864,39.0589967016,115
-122.830668438,39.059169807,117
-122.827218983,39.0593428111,100
-122.823769498,39.0595157137,116
-122.820319984,39.059688515,80
-122.81687044,39.0598612149,115
-122.813420866,39.0600338134,120
-122.809971263,39.0602063104,106
-122.80652163,39.0603787061,116
-122.803071968,39.0605510004,120
-122.799622276,39.0607231932,121
-122.796172554,39.0608952846,127
-122.792722804,39.0610672747,137
-122.789273023,39.0612391632,137
-122.785823213,39.0614109504,148
-122.909772753,39.0524737568,106
-122.906324114,39.0526490754,115
-122.902875445,39.0528242927,106
-122.899426747,39.0529994087,109
